block_name,status,operator,partner_1,partner_1_pct,partner_2,partner_2_pct,acreage_sqkm,oil_2p_mmbbl,gas_2p_bcf,npv10_musd,irr_pct,pipeline_km,water_depth_m,risk_technical,risk_commercial,risk_political,risk_regulatory,expiry_date,description
NOORD-FRIESLAND,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,Shell Nederland,5,1840,42,1850,580,21,0,2,2,1,2,2030-12-31,"Prolific onshore gas block in the Frisian province. Slochteren Formation gas. Connected to Grijpskerk hub."
N04,Production,Wintershall Noordzee B.V.,EBN,40,,0,580,0,420,310,19,38,2,2,1,2,2028-06-30,"Offshore Southern Gas Basin block with proven Rotliegend reservoir. Tie-back to Platform K6-A."
N05,Production,ONE-Dyas B.V.,EBN,40,Neptune Energy,15,640,0,310,260,17,42,2,2,1,2,2027-09-30,"Active gas production. Small field adjacent to N04. Slochteren sandstone play."
N07a,Active Exploration,Vermilion Energy Netherlands B.V.,EBN,40,,0,720,8,180,140,16,55,4,3,1,2,2029-03-31,"Exploration license targeting Jurassic and Zechstein plays. Two wells planned."
N07b,Active Exploration,Wintershall Noordzee B.V.,EBN,40,,0,680,0,250,195,17,52,3,3,1,2,2029-03-31,"Near-block to N07a. Rotliegend primary target. 3D seismic acquired 2023."
M09a,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,,0,920,6,680,490,20,0,2,2,1,2,2031-12-31,"Onshore gas block in Friesland province. Multiple Rotliegend wells in production."
"M10a, M10b & M11",Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,,0,1480,18,1240,840,22,0,1,2,1,2,2032-06-30,"Large consolidated onshore license. Primary driver of Netherlands domestic gas supply."
LEEUWARDEN,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,,0,620,4,480,370,21,0,2,2,1,2,2030-09-30,"City-adjacent onshore gas. Production via existing NAM gathering network."
"BARRADEEL II",Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,,0,380,2,220,175,19,0,2,2,1,2,2028-12-31,"Small onshore gas producing block in North Friesland. Mature field with EOR potential."
DE MARNE,Active Exploration,Petrogas E&P Netherlands B.V.,EBN,40,,0,440,0,85,62,15,0,3,3,1,2,2027-06-30,"Onshore exploration with Rotliegend sandstone targets. Groningen periphery play."
TIETJERKSTERADEEL II,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,,0,290,1,140,108,18,0,2,2,1,2,2029-06-30,"Onshore gas production Drenthe basin. Tied into NAM regional gathering system."
OOSTEREND,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,,0,210,0,95,74,17,0,2,2,1,2,2028-03-31,"Small gas producer on Wadden Sea coast. Minimal remaining reserves."
NORG,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,Vermilion,10,1120,14,3200,1840,23,0,1,2,1,2,2035-06-30,"High-capacity gas storage and production. Norg reservoir used for seasonal storage."
WASKEMEER,Production,Vermilion Energy Netherlands B.V.,EBN,40,,0,180,6,28,85,20,0,2,2,1,2,2031-12-31,"Onshore oil and gas producer in Drenthe. Small Zechstein oil rim with gas cap."
"N04, N05 & N08",Production,ONE-Dyas B.V.,EBN,40,Neptune Energy,15,1840,0,890,620,20,40,2,2,1,2,2028-09-30,"Combined offshore license cluster. Gas production from Slochteren via platform K5-A."
BARRADEEL,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,,0,340,2,195,152,19,0,2,2,1,2,2029-12-31,"Onshore gas block adjacent to BARRADEEL II. Part of larger Frisian gas system."
Q1,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,Shell,20,2450,85,2100,620,24,0,3,2,1,2,2033-12-31,"Mature producing block in the Southern North Sea. Significant remaining gas potential in Rotliegend sandstone reservoirs."
L2,Production,Shell Nederland Aardolie Maatschappij,EBN,40,ExxonMobil,20,1840,12,1650,480,21,28,2,2,1,2,2031-06-30,"Large Southern Gas Basin block. Multiple stacked Rotliegend reservoirs. Gas export via NorFra pipeline."
K5,Production,Wintershall Noordzee B.V.,EBN,40,DEA,15,1320,6,980,520,20,35,2,2,1,2,2029-12-31,"K5-Amstel gas complex. Hub for multiple satellite tie-backs. High-value infrastructure block."
F3,Production,Neptune Energy Netherlands B.V.,EBN,40,,0,960,22,680,380,18,45,3,3,1,2,2030-03-31,"Northern North Sea block. F3-A platform operator. Anjea and Annabel fields."
E18,Active Exploration,ONE-Dyas B.V.,EBN,40,,0,720,0,285,195,16,55,4,3,1,3,2028-06-30,"Horizon gas discovery. Pre-FID. Environmental impact assessment underway."
P15,Production,Petrogas E&P Netherlands B.V.,EBN,40,Vermilion,10,880,18,420,280,19,42,3,3,1,2,2028-09-30,"Southern gas basin Rotliegend gas block. P15-D platform producing."
G17a,Production,Nederlandse Aardolie Maatschappij (NAM),EBN,40,,0,640,4,520,360,20,0,2,2,1,2,2031-12-31,"Onshore gas block in Groningen province. Supplying Dutch national grid via Grijpskerk station."
